number_sta,date,dd
14126001,2018-09-08,
14126001,2018-09-09,
14126001,2018-09-10,
14126001,2018-09-11,
14126001,2018-09-12,
14126001,2018-09-13,
14126001,2018-09-14,
14126001,2018-09-15,
14126001,2018-09-16,
14126001,2018-09-17,
14126001,2018-09-18,
14126001,2018-09-19,
14126001,2018-09-20,
14126001,2018-09-21,
14126001,2018-09-22,
14126001,2018-09-23,
14126001,2018-09-24,
14126001,2018-09-25,
14126001,2018-09-26,
14126001,2018-09-27,
14126001,2018-09-28,
14126001,2018-09-29,
14126001,2018-09-30,
14126001,2018-10-01,
14126001,2018-10-02,
14126001,2018-10-03,
14126001,2018-10-04,
14126001,2018-10-05,
14126001,2018-10-06,
14126001,2018-10-07,
14126001,2018-10-08,
14126001,2018-10-09,
14126001,2018-10-10,
14126001,2018-10-11,
14126001,2018-10-12,
14126001,2018-10-13,
14126001,2018-10-14,
14126001,2018-10-15,
14126001,2018-10-16,
14126001,2018-10-17,
14126001,2018-10-18,
14126001,2018-10-19,
14126001,2018-10-20,
14126001,2018-10-21,
14126001,2018-10-22,
14126001,2018-10-23,
14126001,2018-10-24,
14126001,2018-10-25,
14126001,2018-10-26,
14126001,2018-10-27,
14126001,2018-10-28,
14126001,2018-10-29,
14126001,2018-10-30,
14126001,2018-10-31,
14126001,2018-11-01,
14126001,2018-11-02,
14126001,2018-11-03,
14126001,2018-11-04,
14126001,2018-11-05,
14126001,2018-11-06,
14126001,2018-11-07,
14126001,2018-11-08,
14126001,2018-11-09,
14126001,2018-11-10,
14126001,2018-11-11,
14126001,2018-11-12,
14126001,2018-11-13,
14126001,2018-11-14,
14126001,2018-11-15,
14126001,2018-11-16,
14126001,2018-11-17,
14126001,2018-11-18,
14126001,2018-11-19,
14126001,2018-11-20,
14126001,2018-11-21,
14126001,2018-11-22,
14126001,2018-11-23,
14126001,2018-11-24,
14126001,2018-11-25,
14126001,2018-11-26,
14126001,2018-11-27,
14126001,2018-11-28,
14126001,2018-11-29,
14126001,2018-11-30,
14126001,2018-12-01,
14126001,2018-12-02,
14126001,2018-12-03,
14126001,2018-12-04,
14126001,2018-12-05,
14126001,2018-12-06,
14126001,2018-12-07,
14126001,2018-12-08,
14126001,2018-12-09,
14126001,2018-12-10,
14126001,2018-12-11,
14126001,2018-12-12,
14126001,2018-12-13,
14126001,2018-12-14,
14126001,2018-12-15,
14126001,2018-12-16,
14126001,2018-12-17,
14126001,2018-12-18,
14126001,2018-12-19,
14126001,2018-12-20,
14126001,2018-12-21,
14126001,2018-12-22,
14126001,2018-12-23,
14126001,2018-12-24,
14126001,2018-12-25,
14126001,2018-12-26,
14126001,2018-12-27,
14126001,2018-12-28,
14126001,2018-12-29,
14126001,2018-12-30,
14126001,2018-12-31,
14137001,2018-01-01,246.125
14137001,2018-01-02,222.5
14137001,2018-01-03,259.375
14137001,2018-01-04,243.5
14137001,2018-01-05,218.45833333333334
14137001,2018-01-06,101.16666666666667
14137001,2018-01-07,53.166666666666664
14137001,2018-01-08,77.0
14137001,2018-01-09,157.41666666666666
14137001,2018-01-10,183.91666666666666
